Class,Timestamp,Transfer_status,Year,Return_Sentiment,Current_Emotion,Stress_Level(1=Low),Optimism_Level(1=Low),Primary_Stressor_Simple,Primary_Stressor,Coping_Strategies,Instructor_Suggestions,NA
DH_101,10/12/21 9:04,Non-transfer,Sophomore,"Hopeful, Optimistic, Nervous",Hopeful,3,3,New living situation,Adjusting to new living situation,walking,i think this. class is good!,NA
DH_101,10/12/21 9:02,Non-transfer,Senior,"Excited, Hopeful, Optimistic",Excited,4,3,Applications,Applying for grad school/internships/jobs,Keeping to a consistent routine,Check in with my group often so that we know whether we are on the right path,NA
DH_101,10/12/21 9:03,Non-transfer,Senior,Nervous,Stressed out,5,2,Coursework,Keeping up with coursework,NA,NA,NA
DH_101,10/12/21 9:04,Non-transfer,Senior,"Excited, Optimistic, Nervous",Stressed out,4,3,Applications,Applying for grad school/internships/jobs,NA,NA,NA
DH_101,10/12/21 9:04,Non-transfer,Senior,"Excited, Uncertain, Nervous",Stressed out,4,3,New living situation,Adjusting to new living situation,Taking time for myself and building a routine,NA,NA
DH_101,10/12/21 9:04,Non-transfer,Senior,Excited,Stressed out,4,5,Applications,Applying for grad school/internships/jobs,Working out,I think the instructors are doing well,NA
DH_101,10/12/21 9:04,Non-transfer,Senior,"Excited, Uncertain, Nervous",Anxious,3,2,Applications,Applying for grad school/internships/jobs,"cooking, making time for self-care",provide flexible hybrid options for classes,NA
DH_101,10/12/21 9:06,Non-transfer,Senior,Excited,Excited,3,5,Coursework,Keeping up with coursework,Writing down all my schoolwork tasks in advance,"Making the assignments due very clear! With this class, I feel like there are so many assignments due every week and so many places to find them, I often feel like I'm not 100% sure if I've done everything necessary. ",Holding the data workshops on Wednesday at a different time because I have class during that time! Either in person or online 
DH_101,10/12/21 9:06,Non-transfer,Senior,Excited,Stressed out,4,2,Applications,Applying for grad school/internships/jobs,Running  & being proactive,"Putting situations within context, being reasonable and empathetic ",NA
DH_101,10/12/21 9:06,Non-transfer,Senior,"Excited, Hopeful, Uncertain",Hopeful,3,2,Coursework,Keeping up with coursework,"Taking meaningful breaks, deep breaths","I don't have specific action items, but I find myself somewhat stressed over the fact that much of this class relies on group work. This is helpful, however, considering everyone's busy schedules and personal stress, it does worry me a little that the group project won't get done.",NA
DH_101,10/12/21 9:06,Non-transfer,Senior,"Excited, Hopeful",Happy/content,2,5,Applications,Applying for grad school/internships/jobs,"Going on long walks, working out and meditating. Being outside more and socializing with others!",I have a class conflict with the Wednesday outdoor lab session. I would love it if there were two times or if we could conduct a survey to see what time works best for the majority of students,NA
DH_101,10/12/21 9:07,Non-transfer,Senior,"Excited, Hopeful, Optimistic, Uncertain, Nervous",Stressed out,4,3,Applications,Applying for grad school/internships/jobs,When I get time to spend just connecting with people,NA,NA
DH_101,10/12/21 9:08,Non-transfer,Senior,"Excited, Hopeful, Uncertain, Nervous",Anxious,5,3,Coursework,Keeping up with coursework,NA,NA,NA
DH_101,10/12/21 9:08,Non-transfer,Senior,"Excited, Hopeful, Optimistic, Uncertain, Nervous",Anxious,3,3,Coursework,Keeping up with coursework,Journaling has been super helpful for me — it's hard to know how I'm feeling until I actually try to write it out.,"The structure and organization of this class has been awesome. I think I'm feeling slightly disconnected from it because there's a lot of focus on self-monitoring — checking Canvas ourselves, making sure we're keeping up with our own work. I think that's a completely reasonable expectation for us, but I would appreciate an occasional email from Dr. Sanders or Elizabeth or Anna just as a gentle reminder to complete our assigned work — moreso as a way to stay in touch with our instructors than an assignment reminder.",NA
